Date;PO;TPS;TVQ;Total_Des_Departements;Rabais
2023-04-23;;7.23;14.42;214.39;
2023-04-24;;;;;
2023-04-25;;27.98;46.63;559.53;
2023-04-26;;15.93;29.73;346.50;
2023-04-27;;29.23;57.59;584.45;
2023-04-28;;27.68;55.21;603.40;
2023-04-29;;21.50;29.20;429.70;
2023-04-30;;72.80;144.10;1455.50;
2023-05-01;;;;;
2023-05-02;;16.87;33.64;337.25;
2023-05-03;;22.62;38.99;452.45;
2023-05-04;;29.04;52.61;580.50;
2023-05-05;;16.50;28.03;329.95;
2023-05-06;;34.89;63.39;710.10;
2023-05-07;;34.31;64.23;686.25;
2023-05-08;;;;;
2023-05-09;;30.26;53.87;605.05;
2023-05-10;;32.21;56.26;649.65;
2023-05-11;;28.26;17.71;565.00;
2023-05-12;;5.74;8.64;189.60;
2023-05-13;;17.92;35.75;358.25;
2023-05-14;;23.96;37.51;479.00;
2023-05-15;;;;;
2023-05-16;;51.97;89.29;1041.60;
2023-05-17;;8.15;16.24;289.50;
2023-05-18;;32.47;62.47;609.15;
2023-05-19;;15.00;27.91;419.95;
2023-05-20;;52.83;102.74;1078.96;
2023-05-21;;17.47;32.69;349.27;
2023-05-22;;;;;
2023-05-23;;10.08;10.22;202.84;
2023-05-24;;24.83;41.35;505.50;
2023-05-25;;6.10;12.17;122.00;
2023-05-26;;20.17;36.64;403.20;
2023-05-27;;11.46;10.78;236.05;
2023-05-28;;21.53;35.85;430.35;
2023-05-29;;;;;
2023-05-30;;28.35;56.56;632.00;
2023-05-31;;23.59;32.92;471.75;
2023-06-01;;7.53;14.72;150.60;
2023-06-02;;13.36;19.77;267.23;
2023-06-03;;38.38;74.07;767.60;
2023-06-04;;23.45;46.79;469.05;
2023-06-05;;;;;
2023-06-06;;18.59;31.85;378.27;
2023-06-07;;14.00;27.92;296.40;
2023-06-08;;28.58;39.95;571.58;
2023-06-09;;8.35;13.77;167.00;
2023-06-10;;40.55;73.36;810.85;
2023-06-11;;13.82;24.79;276.25;
2023-06-12;;;;;
2023-06-13;;23.87;47.62;477.25;
2023-06-14;;27.84;55.51;556.55;
2023-06-15;;13.18;26.28;263.45;
2023-06-16;;10.09;20.12;194.60;
2023-06-17;;20.19;38.68;403.55;
2023-06-18;;22.66;35.59;437.87;
2023-06-19;;;;;
2023-06-20;;10.24;19.38;146.64;
2023-06-21;;8.10;23.97;361.04;
2023-06-22;;10.91;18.36;1758.77;
2023-06-23;;15.18;30.26;303.47;
2023-06-24;;3.07;6.13;61.45;
2023-06-25;;11.87;23.68;510.05;
2023-06-26;;;;;
2023-06-27;;10.85;19.30;393.11;
2023-06-28;;13.73;27.39;274.50;
2023-06-29;;18.84;37.59;376.75;
2023-06-30;;34.85;68.99;696.90;
2023-07-01;;;;;
2023-07-02;;11.66;23.25;233.15;
2023-07-03;;;;;
2023-07-04;;4.88;9.74;258.23;
2023-07-05;;20.13;39.81;402.50;
2023-07-06;;;;452.45;
2023-07-07;;25.28;50.39;505.15;
2023-07-08;;11.49;22.91;229.75;
2023-07-09;;25.53;49.30;595.35;
2023-07-10;;;;;
2023-07-11;;34.05;67.92;;
2023-07-12;;42.93;85.34;;
2023-07-13;;12.71;17.37;;
2023-07-14;;17.06;24.27;;
2023-07-15;;18.76;36.80;;
2023-07-16;;21.94;32.22;;
2023-07-17;;;;;
2023-07-18;;15.31;30.52;347.78;
2023-07-19;;16.01;31.91;320.00;
2023-07-20;;10.98;21.89;219.50;
2023-07-21;;17.19;30.40;343.90;
2023-07-22;;39.37;71.10;847.38;
2023-07-23;;4.73;9.43;94.50;
2023-07-24;;;;;
2023-07-25;;8.10;16.13;161.80;
2023-07-26;;14.83;27.60;296.50;
2023-07-27;;21.27;42.42;425.36;
2023-07-28;;2.45;4.88;49.00;
2023-07-29;;34.77;63.37;695.05;
2023-07-30;;5.16;10.29;103.30;
2023-07-31;;;;;
2023-08-01;;34.77;59.38;695.25;
2023-08-02;;11.82;23.57;236.20;
2023-08-03;;14.25;27.32;284.95;
2023-08-04;;15.83;31.57;316.60;
2023-08-05;;21.80;34.30;435.55;
2023-08-06;;74.95;147.19;1498.55;
2023-08-07;;;;;
2023-08-08;;33.73;67.29;674.40;
2023-08-09;;44.38;69.39;887.37;
2023-08-10;;115.96;231.32;2408.90;
2023-08-11;;24.19;43.05;547.40;
2023-08-12;;19.66;39.21;197.10;
2023-08-13;;;;;
2023-08-14;;;;;
2023-08-15;;31.00;61.82;619.70;
2023-08-16;;26.01;45.47;519.95;
2023-08-17;;31.74;54.66;634.75;
2023-08-18;;19.50;35.92;389.55;
2023-08-19;;21.06;39.03;420.70;
2023-08-20;;55.84;111.38;1116.35;
2023-08-21;;;;;
2023-08-22;;18.83;35.19;376.65;
2023-08-23;;14.72;29.10;263.18;
2023-08-24;;92.25;175.74;1840.65;
2023-08-25;;70.50;102.51;1027.76;
2023-08-26;;127.94;249.94;2558.30;
2023-08-27;;59.93;106.75;1259.90;
2023-08-28;;;;;
2023-08-29;;10.51;11.56;206.90;
2023-08-30;;51.48;75.57;1031.43;
2023-08-31;;19.97;31.36;399.14;
2023-09-01;;37.75;69.16;754.30;
2023-09-02;;26.90;44.53;537.85;
2023-09-03;;35.47;63.77;747.87;
2023-09-04;;;;;
2023-09-05;;14.27;28.47;485.40;
2023-09-06;;30.77;60.38;615.27;
2023-09-07;;6.07;12.10;129.05;
2023-09-08;;20.27;40.44;405.35;
2023-09-09;;20.73;33.15;426.00;
2023-09-10;;38.22;76.26;793.85;
2023-09-11;;;;;
2023-09-12;;29.37;50.62;487.30;
2023-09-13;;27.11;54.06;541.86;
2023-09-14;;8.00;15.66;192.80;
2023-09-15;;15.91;31.71;418.12;
2023-09-16;;36.64;61.99;687.62;
2023-09-17;;67.60;127.80;1356.00;
2023-09-18;;;;;
2023-09-19;;20.71;18.55;413.92;
